title,url,brand,price(in Rupees),frame_size,frame_width,model_no,productKeys,warranty
Blue Block Phone Computer Glasses: Electric Green Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C2,https://www.lenskart.com/lenskart-hustlr-lb-e14058-w-c2-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LB E14058-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Phone Computer Glasses: Blue Sky Sky Blue Transparent Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C3,https://www.lenskart.com/lenskart-blu-shark-tank-lb-e14058-c3-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LB E14058-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Phone Computer Glasses: Dark Night Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C1,https://www.lenskart.com/lenskart-hustlr-lb-e14058-c1-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LB E14058-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Phone Computer Glasses: Grey Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C39,https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c39-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LB E14058-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Phone Computer Glasses: Jade Green Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C35,https://www.lenskart.com/lenskart-hustlr-lb-e14058-c35-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LB E14058-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Screen Glasses: Gold Tortoise Gold Black Full Rim Square Lenskart BLU LB E13529-C3,https://www.lenskart.com/vincent-chase-vc-e13529-c3-eyeglasses.html,Lenskart Blu,2000,Medium ?,136 mm,LB E13529,",Eyewear,Eyeglasses,Brands,Lenskart Blu",
Blue Block Phone Computer Glasses: Amber Orange Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C18,https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c18-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LB E14058-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Phone Computer Glasses: Monza Red Full Rim Wayfarer Lenskart HUSTLR LB E14058-W C16,https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c16-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LB E14058-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Screen Glasses: Gunmetal Grey Transparent Full Rim Square Lenskart BLU LB E13529-C5,https://www.lenskart.com/vincent-chase-vc-e13529-c5-eyeglasses.html,Lenskart Blu,2000,Medium ?,136 mm,LB E13529,",Eyewear,Eyeglasses,Brands,Lenskart Blu",
Blue Block Phone Computer Glasses: Dark Night Full Rim Wayfarer Lenskart HUSTLR LB E14058-N C32,https://www.lenskart.com/lenskart-lb-e14058-n-c32-eyeglasses.html,Lenskart Hustlr,1700,Narrow ?,134 mm,LB E14058-N,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",
Blue Block Screen Glasses: Light Blue Transparent Full Rim Round Lenskart BLU LB E14061-C1,https://www.lenskart.com/blue-block-phone-computer-glasses-blue-transparent-full-rim-round-lenskart-blu-lb-e14061-c1.html,Lenskart Blu,1200,Extra Wide ?,142 mm,LB E14061,",Eyewear,Eyeglasses,Brands,Lenskart Blu",
Blue Block Screen Glasses: Matte Black Full Rim Round Lenskart BLU LB E13739-C1,https://www.lenskart.com/lenskart-blu-lb-e13739-c1-eyeglasses.html,Lenskart Blu,1200,Wide ?,139 mm,LB E13739,",Eyewear,Eyeglasses,Brands,Lenskart Blu",
Blue Block Screen Glasses: Blue Transparent Blue Full Rim Rectangle Lenskart Blu LB E13737-C3,https://www.lenskart.com/lenskart-blu-lb-e13737-c3-computer.html,Lenskart Blu,1500,Wide ?,140 mm,LB E13737,",Eyewear,Eyeglasses,Brands,Lenskart Blu",
Blue Block Screen Glasses: Black Full Rim Round Lenskart Blu Glasses LB E14453-C2,https://www.lenskart.com/lenskart-blu-lb-e14453-c2-eyeglasses.html,Lenskart Blu,1200,Medium ?,136 mm,LB E14453,",Eyewear,Eyeglasses,Brands,Lenskart Blu",
Blue Block Screen Glasses: Green Full Rim Round Lenskart Blu Glasses LB E14453-C1,https://www.lenskart.com/lenskart-blu-lb-e14453-c1-eyeglasses.html,Lenskart Blu,1200,Medium ?,136 mm,LB E14453,",Eyewear,Eyeglasses,Brands,Lenskart Blu",
