title,url,brand,price(in Rupees),frame_size,frame_width,model_no,productKeys,warranty
Pink Transparent Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10004m-c3-eyeglasses.html,Hooper,1000,5-8 yrs ?,121 mm,HP E15084M,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Pink Transparent Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10016-c4-eyeglasses.html,Hooper,1000,8-12 yrs ?,125 mm,HP E10016L,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Transparent Full Rim Wayfarer,https://www.lenskart.com/hooper-hp-e10086-c3-eyeglasses.html,Hooper,1000,8-12 yrs ?,125 mm,HP E10086,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Black Blue Transparent Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10014l-c4-eyeglasses.html,Hooper,1000,8-12 yrs ?,125 mm,HP E10014L,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Transparent Full Rim Round,https://www.lenskart.com/hooper-hp-e10015l-c2-eyeglasses.html,Hooper,1000,8-12 yrs ?,125 mm,HP E10015L,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Blue Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10004-c3-eyeglasses.html,Hooper,1000,5-8 yrs ?,121 mm,HP E10004,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Blue Full Rim Wayfarer,https://www.lenskart.com/hooper-hp-e10086-c2-eyeglasses.html,Hooper,1000,8-12 yrs ?,125 mm,HP E10086,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Transparent Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10027l-c7-eyeglasses.html,Hooper,1000,8-12 yrs ?,127 mm,HP E10027L,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Blue Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10004-c2-eyeglasses.html,Hooper,1000,5-8 yrs ?,121 mm,HP E10004,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Blue Full Rim Round,https://www.lenskart.com/hooper-hp-e10003-c2-eyeglasses.html,Hooper,1000,8-12 yrs ?,126 mm,HP E10003,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Black Blue Transparent Full Rim Round,https://www.lenskart.com/hooper-hp-e10015-c1-eyeglasses.html,Hooper,1000,5-8 yrs ?,122 mm,HP E10015,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Transparent Full Rim Wayfarer,https://www.lenskart.com/hooper-hp-e10031l-c10-eyeglasses.html,Hooper,1000,8-12 yrs ?,126 mm,HP E10031L,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Matte Black Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10004l-c2-eyeglasses.html,Hooper,1000,8-12 yrs ?,125 mm,HP E10004L,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Green Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10014l-c2-eyeglasses.html,Hooper,1000,8-12 yrs ?,125 mm,HP E10014L,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
Blue Full Rim Rectangle,https://www.lenskart.com/hooper-hp-e10089-c1-eyeglasses.html,Hooper,1000,5-8 yrs ?,123 mm,HP E10089,",Eyewear,Eyeglasses,Brands,Hooper",with 1 Year Warranty & 14 Day Return
