title,url,brand,price(in Rupees),frame_size,frame_width,model_no,productKeys,warranty
Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e13517-c2-eyeglasses.html,Lenskart Air,1700,Medium ?,134 mm,LA E13517,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return
Ocean Blue Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-la-e15415-c1-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LA E15417-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",with 1 Year Warranty & 14 Day Return
Crystal Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c5-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LH E16985-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",with 1 Year Warranty & 14 Day Return
Flamingo Full Rim Wayfarer,https://www.lenskart.com/lenskart-la-e15417-w-c7-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LA E15417-W,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return
Black Silver Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-e13634-c7-eyeglasses.html,Vincent Chase,1700,Medium ?,134 mm,VC E13634,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return
Transparent Blue Full Rim Rectangle,https://www.lenskart.com/vincent-chase-vc-e13037-full-rim-rect-way-acetate-crystal-blue-transparent-c6-eyeglasses.html,Vincent Chase,1700,Medium ?,136 mm,VC E13037,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return
Navy Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-la-e15417-c15-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LA E15417-W,",Eyewear,Brands",with 1 Year Warranty & 14 Day Return
Olive Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c2-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LH E16985-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",with 1 Year Warranty & 14 Day Return
Light Green Transparent Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-e16665-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,137 mm,VC E16665,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return
Denim Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c1-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LH E16985-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",with 1 Year Warranty & 14 Day Return
Electric Green Full Rim Wayfarer,https://www.lenskart.com/lenskart-air-la-e15417-wc4-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LA E15417-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",with 1 Year Warranty & 14 Day Return
Brown Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e15844-c4-eyeglasses.html,Lenskart Air,1700,Wide ?,138 mm,LA E15844,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return
Blue Full Rim Square,https://www.lenskart.com/lenskart-air-la-e13033-c2-eyeglasses.html,Lenskart Air,1700,Medium ?,135 mm,LA E13069,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return
Black Gold Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-e13634-full-rim-rectangle-metal-steel-escobar-c1-eyeglasses.html,Vincent Chase,1700,Medium ?,135 mm,VC E13634,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return
Blue Sky Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-la-e15417-c7-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LA E15417-W,",Eyewear,Brands",with 1 Year Warranty & 14 Day Return
