title,url,brand,price(in Rupees),frame_size,frame_width,model_no,productKeys,warranty
Gold Full Rim Aviator,https://www.lenskart.com/vincent-chase-vc-s11075-c11-sunglasses.html,Vincent Chase Polarized,1500,Medium ?,138 mm,VC S11075,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Gold Brown Rimless Rectangle/ Square,https://www.lenskart.com/vincent-chase-vc-s15397-c3-sunglasses.html,Vincent Chase,2000,Wide ?,142 mm,VC S15397,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Tortoise Half Rim Wayfarer,https://www.lenskart.com/lenskart-boost-lkb-s16443-c1-sunglasses.html,Lenskart Boost,2000,Wide ?,143 mm,LKB S16443,",Eyewear,Sunglasses,Brands,Lenskart Boost",with 1 year warranty
Black Full Rim Wayfarer,https://www.lenskart.com/vincent-chase-vc-s15999-c1-sunglasses.html,Lenskart Hustlr,2000,Medium ?,141 mm,VC S15999,",Eyewear,Sunglasses,Brands,Lenskart STUDIO",with 1 year warranty
Brown Full Rim Rectangle/ Square,https://www.lenskart.com/vincent-chase-vc-s16340-c1-sunglasses.html,Vincent Chase Polarized,2000,Medium ?,140 mm,VC S16340,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Yellow Full Rim Cat Eye,https://www.lenskart.com/vincent-chase-vc-s16145-c5-sunglasses.html,Vincent Chase Polarized,1500,Wide ?,143 mm,VC S16145,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Black Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-s16558-c2-sunglasses.html,Vincent Chase Polarized,1500,Medium ?,139 mm,VC S16558,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Silver Full Rim Aviator,https://www.lenskart.com/vincent-chase-polarized-vc-s11075-c7-sunglasses.html,Vincent Chase Polarized,2000,Medium ?,138 mm,VC S11075,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Silver Maroon Full Rim Clubmaster,https://www.lenskart.com/vincent-chase-vc-s16341-c3-sunglasses.html,Vincent Chase Polarized,2000,Medium ?,140 mm,VC S16341,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Black Silver Full Rim Wayfarer,https://www.lenskart.com/vincent-chase-vc-s11110-c11-sunglasses.html,Vincent Chase Polarized,2000,Wide ?,145 mm,VC S11110,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Silver Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-s16561-c2-sunglasses.html,Vincent Chase Polarized,1500,Medium ?,139 mm,VC S16561,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Matte Blue Half Rim Wayfarer,https://www.lenskart.com/lenskart-boost-lkb-s16582-c1-sunglass.html,Lenskart Boost,2000,Extra Wide ?,153 mm,LKB S16582,",Eyewear,Sunglasses,Brands,Lenskart Boost",with 1 year warranty
Black Full Rim Rectangle/ Square,https://www.lenskart.com/vincent-chase-vc-s16560-c2-sunglasses.html,Vincent Chase Polarized,1500,Wide ?,141 mm,VC S16560,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Brown Full Rim Rectangle/ Square,https://www.lenskart.com/vincent-chase-vc-s-16342-c2-sunglass.html,Vincent Chase Polarized,2000,Medium ?,140 mm,VC S16342,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
Gold Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-s16529-c2-sunglasses.html,Vincent Chase,2000,Medium ?,136 mm,VC S16529,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty
